"RH"	"C"	"monthly.gam.surface"
86	5	0.202705270982006
86	6	0.293302141672325
86	7	0.418245284803116
86	8	0.579352926830017
86	9	0.77487892603402
86	10	1.00089172987456
86	11	1.25296862698300
86	12	1.52411140196692
86	13	1.80499009497003
86	14	2.08263968485301
86	15	2.34274719453490
86	16	2.56955262747011
86	17	2.74467005372039
86	18	2.84782339334536
86	19	2.85988032639695
86	20	2.76433464338317
86	21	2.54857434458850
86	22	2.21052284361857
86	23	1.77113835055896
86	24	1.28077475402718
86	25	0.807651340255709
86	26	0.400248274719858
86	27	0.063459885109981
86	28	0
86	29	0
86	30	0
86	31	0
86	32	0
86	33	0
86	34	0
86	35	0
87	3	0.0862845476902493
87	4	0.132592955385604
87	5	0.206577900837101
87	6	0.313485618110363
87	7	0.455265208527624
87	8	0.6317011293399
87	9	0.840278431715803
87	10	1.07633636347552
87	11	1.33375029916763
87	12	1.60422683577762
87	13	1.87937388694741
87	14	2.14674153263299
87	15	2.39124242688833
87	16	2.59681761147936
87	17	2.74507207371611
87	18	2.81582207533262
87	19	2.79511614323454
87	20	2.67461244987084
87	21	2.44965938646241
87	22	2.12234814142536
87	23	1.71464819269485
87	24	1.26931715620332
87	25	0.836540490418467
87	26	0.451251106060707
87	27	0.123118328138197
87	28	0
87	29	0
87	30	0
87	31	0
87	32	0
87	33	0
87	34	0
87	35	0
88	3	0.0717025437235893
88	4	0.130474037872951
88	5	0.218970636629278
88	6	0.341095595418950
88	7	0.497726166684238
88	8	0.687633360899993
88	9	0.908410958530243
88	10	1.15397257323781
88	11	1.41615783395381
88	12	1.68437797189778
88	13	1.94983481120261
88	14	2.20195361580989
88	15	2.42629624593404
